"","title","salary","race","gender","sexuality","employ_status","yrs_role","yrs_exp","reports_ind","reports_dir","additonal_comp","notes"
"133","Production manager/ producer","78000","Asian","Woman (cisgender)","Straight","Full-time","1","10","20","5","No",NA
"134","Research Analyst","60000","White","Woman (cisgender)","Straight","Full-time","1","2","NULL","NULL","None",NA
"135","Director of Audience Development","130000","White","Woman (cisgender)","Straight","Full-time","4","10","7","1","6k KPI bonus",NA
"136","staff writer","85000","white","Woman (cisgender)","Straight","Full-time","1","6","NULL","NULL","0",NA
"137","Production Coordinator","60000","Hispanic/Pacific Islander","Woman (cisgender)","Bisexual","Full-time","2","6","0","1","Percentage Bonus","I  was offered salary with a  bonus.  When I asked where mine was it took over 3 months to receive and was  not included on my letter/ after it  was verbally told  to me in my offer."
"138","Engineer","87500","Asian American","Woman (cisgender)","Straight","Full-time","1","1","0","1","0","Hired with less experience than position called for so I think that made my starting lower. Sometimes need to take off/be completely offline or leave early at ""inconvenient"" times for religious reasons."
"139","Associate Photo Editor","65000","White","Woman (cisgender)","Bisexual","Full-time","2","4","NULL","NULL","10% bonus","Started as photo assistant, freelance (permalance) at $17 x hr, after a year received a raise to $21 x hr. One month later was promoted (still freelance) to Associate position at $32 x hr after 6months was hired full time w/ $65,000 salary."
"140","Video Producer","80000","White","Man (cisgender)","Straight","Full-time","3","10","0","0","none",NA
"141","Senior Designer","80000","Latinx","Woman (cisgender)","Straight","Full-time","1","10","0","0","0",NA
"142","Ad Ops Specialist","59700","White","Prefer Not to say","Straight","Full-time","1","3","0","0","Quarterly compensation","Asked for a raise, denied and was told we only evaluate raises after yearly review. Review came and was promised good things, COVID comes along and was told raises are being held out until September."
"143","Post-Production Supervisor","80000","White","Man (cisgender)","Straight","Full-time","2","9","0","10","0.1","No salary increase or change in title after responsibilities significantly increased and 8 additional direct reports were added to my team."
"144","Associate Director","120000","white","Woman (cisgender)","Straight","Full-time","1","5","4","4","bonus if goals are hit",NA
"145","Senior Producer","108000","hispanic, indigenous","Woman (cisgender)","Prefer Not to Say","Full-time","1","10","1","0","NA",NA
"146","Engagement manager","52500","White","Man (transgender)","Queer","Full-time","1","2","NULL","NULL","none",NA
"147","Associate Director, Brand Marketing","85000","White","Woman (cisgender)","Straight","Full-time","2","5","NULL","NULL","Potential for 4000 bonus","I've been asking for a raise/promotion for over a year because the job I'm doing does not match my title and salary, but I keep receiving excuses for why it can't happen ""right now"" but will happen ""soon"""
"148","Analyst","68000","Asian","Woman (cisgender)","Straight","Full-time","1","2","NULL","NULL","n/a",NA
"149","Senior Producer","120000","Asian-American","Woman (cisgender)","Straight","Full-time","1","8","2","NULL","10% bonus",NA
"150","Social media editor","78000","White","Woman (cisgender)","Straight","Full-time","1","5","0","0","0",NA
"151","Staff Writer","80000","White","Man (cisgender)","Straight","Full-time","1","7","0","1","None",NA
"152","Finance Manager","88000","White","Woman (cisgender)","Straight","Full-time","2","6","0","0","Benefits","Starting salary Feb 2018 70K"
"153","Senior Associate","58500","East Indian","Woman (cisgender)","Straight","Full-time","2","2","NULL","NULL","None",NA
"154","Product Manager","79000","Hispanic","Woman (cisgender)","Straight","Full-time","3","3","1","0","Received a 1-time bonus of $1500 (before taxes)","Starting salary was $72K; EA before and this role was considered a ""promotion"" despite being a completely different job therefore merit review was not given the following year; received a salary decrease while being an EA when CN hours went from 35 to 40; have worked at CN for over 4 years (it'll be 3 years in this role end of July)"
"155","Digital Producer","80000","White","Woman (cisgender)","Straight","Full-time","1","5","2","0","0",NA
"156","Senior Manager","120000","Asian","Woman (cisgender)","Straight","Full-time","5","14","3","2","Performance based bonus",NA
"157","Associate Manager, Audience Development Strategy","90000","White","Woman (cisgender)","Straight","Full-time","1","4","0","0","0","Hired at lower level than interviewed for; took a title and pay cut to come to CN"
"158","Photo Editor","70000","White","Woman (cisgender)","Prefer Not to Say","Full-time","2","6","NULL","NULL","0",NA
"159","Sr Director, Marketing","115000","White","Woman (cisgender)","Straight","Full-time","3","12","NULL","NULL","$6k potential annual bonus",NA
"160","Associate Account Manager","68500","White","Man (cisgender)","Straight","Full-time","5","5","0","0","Quarterly bonus dependent on hitting goals",NA
"161","Senior Writer","72000","Asian","Woman (cisgender)","Straight","Full-time","3","10","NULL","NULL","none","Portland, Oregon, was offered $55K to start. Got a new editor who raised that up proportionate to my title."
"162","Senior Manager","106500","Asian","Woman (cisgender)","Straight","Full-time","2","9","0","0","0",NA
"163","Director","170000","White","Woman (cisgender)","Straight","Full-time","1","10","2","8","8000","My salary is the same as it was at my previous company (minus bonus), but the title and responsibilities were a significant step up."
"164","Sales Associate","50000","Hispanic/ Latinx","Woman (cisgender)","Straight","Full-time","2","2","0","0","OT",NA
"165","Associate Director, Social Media","90000","Asian","Woman (cisgender)","Straight","Full-time","5","10","2","1","N/A",NA
"166","Senior Manager","105000","Asian American","Woman (cisgender)","Straight","Full-time","2","6","0","0","kpi bonus",NA
"167","Director, Branded","130000","white","Woman (cisgender)","Straight","Full-time","1","11","NULL","NULL","quarterly bonuses based on sales goals","My salary is higher than my previous job at a competitor company. However I know it's less than what a Man employee with similar experience was compensated when he was hired by CNE."
"168","Director","1e+05","African American","Woman (cisgender)","Straight","Full-time","1","5","0","2","N/A",NA
"169","Production Manager","78000","Latinx","Woman (cisgender)","Bisexual","Contract","1","2","NULL","NULL","n/a","Asked for a higher rate when hired, was told ""that doesn't happen here"""
"170","Marketing Director","106000","WHITE","Man (cisgender)","Straight","Full-time","1","8","0","0","0","MY REVIEW WAS SKIPPED IN MARCH."
"171","Executive Assistant","70000","White","Man (cisgender)","Gay","Full-time","2","20 or more","NULL","NULL","None",NA
